path,guid,existsNow,serializedOwnerCount,serializedOwners,exactTextReferrerCount,exactTextReferrers,deleteAuthorized
Assets/NTSD/Sprite/Character/shino/shino.bmp,860c27d9b2360ab4aa91aa25cbf9a5bf,True,0,,0,,False
Assets/NTSD/Sprite/Character/shino/shino_2.bmp,838d42c2bca5e1d44be7ced4351bb2d0,True,0,,0,,False
Assets/NTSD/Sprite/Character/shino/shino_f.bmp,f3ca3248893c0b64aab3a5080436842e,True,0,,0,,False
Assets/NTSD/Sprite/Character/shino/shino_s.bmp,47904c0d07ab58a42a2c91ed9a482ffa,True,0,,0,,False
Assets/NTSD/Sprite/Character/sound_nin/manda2.bmp,5b9177dc271c4b94eb7f64532f84efd7,True,0,,0,,False
Assets/NTSD/Sprite/Character/sound_nin/manda3.bmp,820b951450d729e47973acabf49d3be9,True,0,,0,,False
Assets/NTSD/Sprite/Character/sound_nin/sand_nin.bmp,5d667d9e70887784cae911d4d5218078,True,0,,0,,False
Assets/NTSD/Sprite/Character/sound_nin/sound_nin.bmp,dd8a50d4a859ace4ab9547b9ec778b8d,True,0,,0,,False
Assets/NTSD/Sprite/Character/sound_nin/sound_nin_f.bmp,4e0c710afd57d2349b0169754854f890,True,0,,0,,False
Assets/NTSD/Sprite/Character/sound_nin/sound_nin_s.bmp,85523637507df864eaa37317d3accd60,True,0,,0,,False
Assets/NTSD/Sprite/Character/sound_nin2/sound_nin2.bmp,958daccca74833f4d98dab3677f8ce17,True,0,,0,,False
Assets/NTSD/Sprite/Character/sound_nin2/sound_nin2_f.bmp,c5b82a085081daf4cb4b18466e3bc6e1,True,0,,0,,False
Assets/NTSD/Sprite/Character/sound_nin2/sound_nin2_s.bmp,22a4ffbbc35c6764bbcb8b1fdc688c4d,True,0,,0,,False
Assets/NTSD/Sprite/Character/tayuya/jiroubou.bmp,6401d33336e4e3f4c97a57140e9950d3,True,0,,0,,False
Assets/NTSD/Sprite/Character/tayuya/tayuya.bmp,12f83e256b2ce454badc04d78926e635,True,0,,0,,False
Assets/NTSD/Sprite/Character/tayuya/tayuya_f.bmp,883abdc476e829146bbd0022e78c83c5,True,0,,0,,False
Assets/NTSD/Sprite/Character/tayuya/tayuya_s.bmp,498424dd4c40d1440aee2606fdfdeb4b,True,0,,0,,False
Assets/NTSD/Sprite/Character/temari/temari.bmp,ade265d726749af45b1e1f2fab025cf8,True,0,,0,,False
Assets/NTSD/Sprite/Character/temari/temari_2.bmp,cdf54569335d0804ca4660446042b06b,True,0,,0,,False
Assets/NTSD/Sprite/Character/temari/temari_f.bmp,ec214241c52a42b4ca8919610c8c6313,True,0,,0,,False
Assets/NTSD/Sprite/Character/temari/temari_s.bmp,e15e83ebefb510047b17ee9ad76aa8bd,True,0,,0,,False
Assets/NTSD/Sprite/Character/tenten/temari_2.bmp,5f49a8178d0d1c040aacfe7004533bf6,True,0,,0,,False
Assets/NTSD/Sprite/Character/tenten/ten_ten_0.bmp,2b61b7748a7d6404fb21dfd3fd5c1de3,True,0,,0,,False
Assets/NTSD/Sprite/Character/tenten/ten_ten_3.bmp,ceb8c93d20eaf0741876059059b34b93,True,0,,0,,False
Assets/NTSD/Sprite/Character/tenten/ten_ten_f.bmp,8cb3b8486ad47074f8f519f70c813e8b,True,0,,0,,False
Assets/NTSD/Sprite/Character/tenten/ten_ten_s.bmp,bea0d9cd2bc0b964e8de5225e150c4d5,True,0,,0,,False
Assets/NTSD/Sprite/Character/XiaoYing/sakura.bmp,c3558b297fa81d2409930c9326253564,True,0,,0,,False
Assets/NTSD/Sprite/Character/XiaoYing/sakura_2.bmp,91049a5a6ee5ee94b81b450f98c0ab87,True,0,,0,,False
Assets/NTSD/Sprite/Character/XiaoYing/sakura_f.bmp,d0e1550d0832297479196dafa8eecb46,True,0,,0,,False
Assets/NTSD/Sprite/Character/XiaoYing/sakura_s.bmp,19e3abeb404fb824aa7c6949c6bf4f67,True,0,,0,,False
Assets/NTSD/Sprite/Character/yamato/kakashi_2.bmp,732fdfe2c2d5e2141a645da18e947c06,True,0,,0,,False
Assets/NTSD/Sprite/Character/yamato/yamato.bmp,d47e64c95c81896498cdb0749017737a,True,0,,0,,False
