id	float_bits	strict_int	first_int	strict_valid
r00688	41800000	0	0	0
r00689	00000000	0	0	0
r00690	41800000	0	0	0
r00691	41800000	0	0	0
r00692	41800000	0	0	0
r00693	00000000	0	0	0
r00694	00000000	0	0	0
r00695	00000000	0	0	0
r00696	00000000	0	0	0
r00697	41800000	0	0	0
r00698	41800000	0	0	0
r00699	00000000	0	0	0
r00700	41800000	0	0	0
r00701	41800000	0	0	0
r00702	41800000	0	0	0
r00703	00000000	0	0	0
r00704	00000000	0	0	0
r00705	00000000	0	0	0
r00706	00000000	0	0	0
r00707	41800000	0	0	0
r00708	41800000	0	0	0
r00709	00000000	0	0	0
r00710	00000000	0	0	0
r00711	00000000	0	0	0
r00712	00000000	0	0	0
r00713	00000000	0	0	0
r00714	00000000	0	0	0
r00715	00000000	0	0	0
r00716	00000000	0	0	0
r00717	00000000	0	0	0
r00718	00000000	0	0	0
r00719	00000000	0	0	0
r00720	4F000000	0	0	0
r00721	4F000000	0	0	0
r00722	4F000000	0	0	0
r00723	00000000	0	0	0
r00724	00000000	0	0	0
r00725	00000000	0	0	0
r00726	00000000	0	0	0
r00727	4F000000	0	0	0
r00728	4F000000	0	0	0
r00729	00000000	0	0	0
r00730	4F000000	0	0	0
r00731	4F000000	0	0	0
r00732	4F000000	0	0	0
r00733	00000000	0	0	0
r00734	00000000	0	0	0
r00735	00000000	0	0	0
r00736	00000000	0	0	0
r00737	4F000000	0	0	0
r00738	4F000000	0	0	0
r00739	00000000	0	0	0
r00740	4F000000	0	0	0
r00741	4F000000	0	0	0
r00742	4F000000	0	0	0
r00743	00000000	0	0	0
r00744	00000000	0	0	0
r00745	00000000	0	0	0
r00746	00000000	0	0	0
r00747	4F000000	0	0	0
r00748	4F000000	0	0	0
r00749	00000000	0	0	0
r00750	4F000000	0	0	0
r00751	4F000000	0	0	0
r00752	4F000000	0	0	0
r00753	00000000	0	0	0
r00754	00000000	0	0	0
r00755	00000000	0	0	0
r00756	00000000	0	0	0
r00757	4F000000	0	0	0
r00758	4F000000	0	0	0
r00759	00000000	0	0	0
r00760	4F000000	0	0	0
r00761	4F000000	0	0	0
r00762	4F000000	0	0	0
r00763	00000000	0	0	0
r00764	00000000	0	0	0
r00765	00000000	0	0	0
r00766	00000000	0	0	0
r00767	4F000000	0	0	0
r00768	4F000000	0	0	0
r00769	00000000	0	0	0
r00770	4F000000	0	0	0
r00771	4F000000	0	0	0
r00772	4F000000	0	0	0
r00773	00000000	0	0	0
r00774	00000000	0	0	0
r00775	00000000	0	0	0
r00776	00000000	0	0	0
r00777	4F000000	0	0	0
r00778	4F000000	0	0	0
r00779	00000000	0	0	0
r00780	4F000000	0	0	0
r00781	4F000000	0	0	0
r00782	4F000000	0	0	0
r00783	00000000	0	0	0
r00784	00000000	0	0	0
r00785	00000000	0	0	0
r00786	00000000	0	0	0
r00787	4F000000	0	0	0
r00788	4F000000	0	0	0
r00789	00000000	0	0	0
r00790	00000000	0	0	0
r00791	00000000	0	0	0
r00792	00000000	0	0	0
r00793	00000000	0	0	0
r00794	00000000	0	0	0
r00795	00000000	0	0	0
r00796	00000000	0	0	0
r00797	00000000	0	0	0
r00798	00000000	0	0	0
r00799	00000000	0	0	0
r00800	00000000	0	0	0
r00801	00000000	0	0	0
r00802	00000000	0	0	0
r00803	00000000	0	0	0
r00804	00000000	0	0	0
r00805	00000000	0	0	0
r00806	00000000	0	0	0
r00807	00000000	0	0	0
r00808	00000000	0	0	0
r00809	00000000	0	0	0
r00810	00000000	0	0	0
r00811	00000000	0	0	0
r00812	00000000	0	0	0
r00813	00000000	0	0	0
r00814	00000000	0	0	0
r00815	00000000	0	0	0
r00816	00000000	0	0	0
r00817	00000000	0	0	0
r00818	00000000	0	0	0
r00819	00000000	0	0	0
r00820	00000000	0	0	0
r00821	00000000	0	0	0
r00822	00000000	0	0	0
r00823	00000000	0	0	0
r00824	00000000	0	0	0
r00825	00000000	0	0	0
r00826	00000000	0	0	0
r00827	00000000	0	0	0
r00828	00000000	0	0	0
r00829	00000000	0	0	0
r00830	00000000	0	0	0
r00831	00000000	0	0	0
r00832	00000000	0	0	0
r00833	00000000	0	0	0
r00834	00000000	0	0	0
r00835	00000000	0	0	0
r00836	00000000	0	0	0
r00837	00000000	0	0	0
r00838	00000000	0	0	0
r00839	00000000	0	0	0
r00840	00000000	0	0	0
r00841	00000000	0	0	0
r00842	00000000	0	0	0
r00843	00000000	0	0	0
r00844	00000000	0	0	0
r00845	00000000	0	0	0
r00846	00000000	0	0	0
r00847	00000000	0	0	0
r00848	00000000	0	0	0
r00849	00000000	0	0	0
r00850	00000000	0	0	0
r00851	00000000	0	0	0
r00852	00000000	0	0	0
r00853	00000000	0	0	0
r00854	00000000	0	0	0
r00855	00000000	0	0	0
r00856	00000000	0	0	0
r00857	00000000	0	0	0
r00858	00000000	0	0	0
r00859	00000000	0	0	0
r00860	00000000	0	0	0
r00861	00000000	0	0	0
r00862	00000000	0	0	0
r00863	00000000	0	0	0
r00864	00000000	0	0	0
r00865	00000000	0	0	0
r00866	00000000	0	0	0
r00867	00000000	0	0	0
r00868	00000000	0	0	0
r00869	00000000	0	0	0
r00870	00000000	0	0	0
r00871	00000000	0	0	0
r00872	00000000	0	0	0
r00873	00000000	0	0	0
r00874	00000000	0	0	0
r00875	00000000	0	0	0
r00876	00000000	0	0	0
r00877	00000000	0	0	0
r00878	00000000	0	0	0
r00879	00000000	0	0	0
r00880	00000000	0	0	0
r00881	00000000	0	0	0
r00882	00000000	0	0	0
r00883	00000000	0	0	0
r00884	00000000	0	0	0
r00885	00000000	0	0	0
r00886	00000000	0	0	0
r00887	00000000	0	0	0
r00888	00000000	0	0	0
r00889	00000000	0	0	0
r00890	00000000	0	0	0
r00891	00000000	0	0	0
r00892	00000000	0	0	0
r00893	00000000	0	0	0
r00894	00000000	0	0	0
r00895	00000000	0	0	0
r00896	00000000	0	0	0
r00897	00000000	0	0	0
r00898	00000000	0	0	0
r00899	00000000	0	0	0
r00900	00000000	0	0	0
r00901	00000000	0	0	0
r00902	00000000	0	0	0
r00903	00000000	0	0	0
r00904	00000000	0	0	0
r00905	00000000	0	0	0
r00906	00000000	0	0	0
r00907	00000000	0	0	0
r00908	00000000	0	0	0
r00909	00000000	0	0	0
r00910	00000000	0	0	0
r00911	00000000	0	0	0
r00912	00000000	0	0	0
r00913	00000000	0	0	0
r00914	00000000	0	0	0
r00915	00000000	0	0	0
r00916	00000000	0	0	0
r00917	00000000	0	0	0
r00918	00000000	0	0	0
r00919	00000000	0	0	0
r00920	00000000	0	0	0
r00921	00000000	0	0	0
r00922	00000000	0	0	0
r00923	00000000	0	0	0
r00924	00000000	0	0	0
r00925	00000000	0	0	0
r00926	00000000	0	0	0
r00927	00000000	0	0	0
r00928	00000000	0	0	0
r00929	00000000	0	0	0
r00930	00000000	0	0	0
r00931	00000000	0	0	0
r00932	00000000	0	0	0
r00933	00000000	0	0	0
r00934	00000000	0	0	0
r00935	00000000	0	0	0
r00936	00000000	0	0	0
r00937	00000000	0	0	0
r00938	00000000	0	0	0
r00939	00000000	0	0	0
r00940	00000000	0	0	0
r00941	00000000	0	0	0
r00942	00000000	0	0	0
r00943	00000000	0	0	0
r00944	00000000	0	0	0
r00945	00000000	0	0	0
r00946	00000000	0	0	0
r00947	00000000	0	0	0
r00948	00000000	0	0	0
r00949	00000000	0	0	0
r00950	00000000	0	0	0
r00951	00000000	0	0	0
r00952	00000000	0	0	0
r00953	00000000	0	0	0
r00954	00000000	0	0	0
r00955	00000000	0	0	0
r00956	00000000	0	0	0
r00957	00000000	0	0	0
r00958	00000000	0	0	0
r00959	00000000	0	0	0
r00960	00000000	0	0	0
r00961	00000000	0	0	0
r00962	00000000	0	0	0
r00963	00000000	0	0	0
r00964	00000000	0	0	0
r00965	3F800000	1	1	1
r00966	BF800000	-1	-1	1
r00967	3F800000	0	0	0
r00968	3F800000	0	0	0
