path,category,exists,metaExists,guid,sha256,serializedReferrerCount,serializedReferrers,deleteAuthorized
Assets/NTSD/Sprite/UIPanels/CHARMENU.bmp,UIPanels,True,True,0b08cc9478a2f1f48bea20c314ae0049,105D841BBECB5C9AEC5ADD4BE9A707342258143893645697EFFD1EE695502273,1,Assets/NTSD/Scene/NTSD_Menu.unity,False
Assets/NTSD/Sprite/UIPanels/ChatGPT Image 2026年9月12日 20_07_00 (1).png,UIPanels,True,True,e3691542e69d4e149893faf94e347b4b,99B8E26CC8B2097C44E9C0F591678957958CD57BE2541EB6EE4DD1E2DF5474E7,0,,False
Assets/NTSD/Sprite/UIPanels/ChatGPT Image 2026年9月12日 20_07_00 (2).png,UIPanels,True,True,3858b85463080db4ab2903ca31c4dc21,2EDB2BD106085D374C74E05512931E7A0F96E987E0A6224D4B9B143836FE3F84,0,,False
Assets/NTSD/Sprite/UIPanels/ChatGPT Image 2026年9月12日 20_07_00 (3).png,UIPanels,True,True,c9f09e51bb8dc264590c1e9dabae769a,1833A08C161FF9FE87C7C5AB4837C56E7869A3F4AA596609F6B8BA1FE46347BC,0,,False
Assets/NTSD/Sprite/UIPanels/ChatGPT Image 2026年9月12日 20_07_01 (4).png,UIPanels,True,True,412dcbec89f577249a3ff08373ccef0a,6AC914B1730DF41B4E7D38EF830B41CB14C5AC8320844EC915BA6D2901F776F4,0,,False
Assets/NTSD/Sprite/UIPanels/CM1.png,UIPanels,True,True,54b88b064f519be44b1883716c12f6c0,062259DFFEB0432D546D9DECA22C307AF706989028750C04662AC46FDD2818F2,1,Assets/NTSD/Config/GameConfig/GameConfig.asset,False
Assets/NTSD/Sprite/UIPanels/CM2.png,UIPanels,True,True,04580ace18fd3f6429462e56db4fb3eb,C0964B387DAFE96ACF570533255F7AF60EFC271F589E532FBA8B6210BB997E53,1,Assets/NTSD/Config/GameConfig/GameConfig.asset,False
Assets/NTSD/Sprite/UIPanels/CM3.png,UIPanels,True,True,4a0a0c26e3917614c8f90f044e9d607e,0B25E278127FB02B0DEDBAAA1A0CB74EB0894B8E9BB64C1FC2B7AECADB82B646,1,Assets/NTSD/Config/GameConfig/GameConfig.asset,False
Assets/NTSD/Sprite/UIPanels/CM4.png,UIPanels,True,True,a26a34b702058274ba4c0329a370ae47,6E860B5E3C8EA91825EA41AA04C7EB88D5D2F24BDF4C91A894706AC7BE6117C6,1,Assets/NTSD/Config/GameConfig/GameConfig.asset,False
Assets/NTSD/Sprite/UIPanels/CM5.png,UIPanels,True,True,188dafa6c20928146b68e329d88e3320,8944652307280C928080283C6FC83E1A5DEF1FDF1F0421A45F63BF2445A4D85C,1,Assets/NTSD/Config/GameConfig/GameConfig.asset,False
Assets/NTSD/Sprite/UIPanels/CMA.png,UIPanels,True,True,ff4153710d4407841b05383b6249b016,E74D87C6B39B6D99CD46E5E0F355DBAA17A588C983BF7C25FF3FB5F9D8394706,2,Assets/NTSD/Scene/NTSD_Menu.unity;Assets/NTSD/Config/GameConfig/GameConfig.asset,False
Assets/NTSD/Sprite/UIPanels/CMA2.png,UIPanels,True,True,34379c25a465836419338c80151ebc54,6BEB0A9DCACB86585EBD2C59DBA1E9585FFFB0629BEB8F23F300ABB23782D0F6,1,Assets/NTSD/Config/GameConfig/GameConfig.asset,False
Assets/NTSD/Sprite/UIPanels/CMC.bmp,UIPanels,True,True,e1ccb754dd28c724c94c7b5d83cb884c,279CF9BA677DCCF66EE700EA9B2BA9CC366ACC4835F40FEBB9A12979AC089B84,1,Assets/NTSD/Scene/NTSD_Menu.unity,False
Assets/NTSD/Sprite/UIPanels/Combo_Arraw.png,UIPanels,True,True,049ee2be307496b4fafce0b6fbdba688,E7695EB1A9B36F4B467E014E1BA8617F89FD4F0264270690EBB9C3E52EA6F19D,1,Assets/NTSD/Scene/NTSD_Battle.unity,False
Assets/NTSD/Sprite/UIPanels/CS2.png,UIPanels,True,True,f2b64ec62a4637d46bf877add322f388,94EB85035799D0F15E75CAAAD4429C1AE6C712C2FA43211BC1E8791C5DCF5513,0,,False
Assets/NTSD/Sprite/UIPanels/CS3.png,UIPanels,True,True,e05440d481edfff45b50af4b45dbae40,E07B708560B73EE3CF608AFCE670D0E3612A37903052CC1A3DB1BBA6DABA8324,0,,False
Assets/NTSD/Sprite/UIPanels/CS4.png,UIPanels,True,True,86311072c94512c45bc0a19fe1ee92ae,2F4F1D74899E1F6C8AB76BDA9E8FF8251C88F0CF6FDEF8BBA37F16A18E44738D,0,,False
Assets/NTSD/Sprite/UIPanels/CS5.png,UIPanels,True,True,ca46f7ee505e23340b558adb5de50d1a,FE93D69FAE8BB2D1BA9728562EC429866F1AD1D8F5E39252539BB968B081A4A1,0,,False
Assets/NTSD/Sprite/UIPanels/CS6.png,UIPanels,True,True,db4a1a85e6a2ff248a78e3a5b18d624a,DAA19FFCC1834F3785142F51C5D0628750D36BE3F51AB58420FBA5432BFA2867,1,Assets/NTSD/Scene/NTSD_Menu.unity,False
Assets/NTSD/Sprite/UIPanels/ENDING.bmp,UIPanels,True,True,bf439ad2cfd39524c832df261734f73e,897B4126633CAAC24C8D01EC94A23AABB7451E446291F47E52C7B7C00148B728,0,,False
Assets/NTSD/Sprite/UIPanels/FootEnemy.png,UIPanels,False,False,,,0,,False
